databasename,tablename,tablename_temp
src_heliumplus_imagediagnostics_ph,doctor_who_saw_who,doctor_who_saw_who_temp
src_heliumplus_imagediagnostics_ph,drugs,drugs_temp
src_heliumplus_imagediagnostics_ph,encounter,encounter_temp
src_heliumplus_imagediagnostics_ph,encounter_form,encounter_form_temp
src_heliumplus_imagediagnostics_ph,enrollments_antenatal,enrollments_antenatal_temp
src_heliumplus_imagediagnostics_ph,enrollments_immunization,enrollments_immunization_temp
src_heliumplus_imagediagnostics_ph,in_patient,in_patient_temp
src_heliumplus_imagediagnostics_ph,lab_requests,lab_requests_temp
src_heliumplus_imagediagnostics_ph,lab_result,lab_result_temp
src_heliumplus_imagediagnostics_ph,lab_result_data,lab_result_data_temp
src_heliumplus_imagediagnostics_ph,staff_directory,staff_directory_temp
src_heliumplus_imagediagnostics_ph,staff_roles,staff_roles_temp
src_heliumplus_imagediagnostics_ph,staff_specialization,staff_specialization_temp
src_heliumplus_imagediagnostics_ph,state,state_temp
src_heliumplus_imagediagnostics_ph,patient_demograph,patient_demograph_temp
src_heliumplus_imagediagnostics_ph,clinical_medication,clinical_medication_temp
src_heliumplus_imagediagnostics_ph,clinical_medication_data,clinical_medication_data_temp
src_heliumplus_imagediagnostics_ph,drug_formulary,drug_formulary_temp
src_heliumplus_imagediagnostics_ph,drug_formulary_data,drug_formulary_data_temp
src_heliumplus_imagediagnostics_ph,patient_diagnoses,patient_diagnoses_temp
src_heliumplus_imagediagnostics_ph,dispensed_drugs,dispensed_drugs_temp
src_heliumplus_imagediagnostics_ph,patient_labs,patient_labs_temp
src_heliumplus_imagediagnostics_ph,patient_scan,patient_scan_temp
src_heliumplus_novamedic_clinic,clinic,clinic_temp
src_heliumplus_novamedic_clinic,company,company_temp
src_heliumplus_novamedic_clinic,diagnoses,diagnoses_temp
src_heliumplus_novamedic_clinic,countries,countries_temp
src_heliumplus_novamedic_clinic,doctor_who_saw_who,doctor_who_saw_who_temp
src_heliumplus_novamedic_clinic,drugs,drugs_temp
src_heliumplus_novamedic_clinic,encounter,encounter_temp
src_heliumplus_novamedic_clinic,encounter_form,encounter_form_temp
src_heliumplus_novamedic_clinic,enrollments_antenatal,enrollments_antenatal_temp
src_heliumplus_novamedic_clinic,enrollments_immunization,enrollments_immunization_temp
src_heliumplus_novamedic_clinic,in_patient,in_patient_temp
src_heliumplus_novamedic_clinic,lab_requests,lab_requests_temp
src_heliumplus_novamedic_clinic,lab_result,lab_result_temp
src_heliumplus_novamedic_clinic,lab_result_data,lab_result_data_temp
src_heliumplus_novamedic_clinic,staff_directory,staff_directory_temp
src_heliumplus_novamedic_clinic,staff_roles,staff_roles_temp
src_heliumplus_novamedic_clinic,staff_specialization,staff_specialization_temp
src_heliumplus_novamedic_clinic,state,state_temp
src_heliumplus_novamedic_clinic,patient_demograph,patient_demograph_temp
src_heliumplus_novamedic_clinic,clinical_medication,clinical_medication_temp
src_heliumplus_novamedic_clinic,clinical_medication_data,clinical_medication_data_temp
src_heliumplus_novamedic_clinic,drug_formulary,drug_formulary_temp
src_heliumplus_novamedic_clinic,drug_formulary_data,drug_formulary_data_temp
src_heliumplus_novamedic_clinic,patient_diagnoses,patient_diagnoses_temp
src_heliumplus_novamedic_clinic,dispensed_drugs,dispensed_drugs_temp
src_heliumplus_novamedic_clinic,patient_labs,patient_labs_temp
src_heliumplus_novamedic_clinic,patient_scan,patient_scan_temp
src_heliumplus_euracare_lagos,clinic,clinic_temp
src_heliumplus_euracare_lagos,company,company_temp
src_heliumplus_euracare_lagos,diagnoses,diagnoses_temp
src_heliumplus_euracare_lagos,countries,countries_temp
src_heliumplus_euracare_lagos,doctor_who_saw_who,doctor_who_saw_who_temp
src_heliumplus_euracare_lagos,drugs,drugs_temp
src_heliumplus_euracare_lagos,encounter,encounter_temp
src_heliumplus_euracare_lagos,encounter_form,encounter_form_temp
src_heliumplus_euracare_lagos,enrollments_antenatal,enrollments_antenatal_temp
src_heliumplus_euracare_lagos,enrollments_immunization,enrollments_immunization_temp
src_heliumplus_euracare_lagos,in_patient,in_patient_temp
src_heliumplus_euracare_lagos,lab_requests,lab_requests_temp
src_heliumplus_euracare_lagos,lab_result,lab_result_temp
src_heliumplus_euracare_lagos,lab_result_data,lab_result_data_temp
src_heliumplus_euracare_lagos,staff_directory,staff_directory_temp
src_heliumplus_euracare_lagos,staff_roles,staff_roles_temp
src_heliumplus_euracare_lagos,staff_specialization,staff_specialization_temp
src_heliumplus_euracare_lagos,state,state_temp
src_heliumplus_euracare_lagos,patient_demograph,patient_demograph_temp
src_heliumplus_euracare_lagos,clinical_medication,clinical_medication_temp
src_heliumplus_euracare_lagos,clinical_medication_data,clinical_medication_data_temp
src_heliumplus_euracare_lagos,drug_formulary,drug_formulary_temp
src_heliumplus_euracare_lagos,drug_formulary_data,drug_formulary_data_temp
src_heliumplus_euracare_lagos,patient_diagnoses,patient_diagnoses_temp
src_heliumplus_euracare_lagos,dispensed_drugs,dispensed_drugs_temp
src_heliumplus_euracare_lagos,patient_labs,patient_labs_temp
src_heliumplus_euracare_lagos,patient_scan,patient_scan_temp
src_heliumplus_coastalspecialist,clinic,clinic_temp
src_heliumplus_coastalspecialist,company,company_temp
src_heliumplus_coastalspecialist,diagnoses,diagnoses_temp
src_heliumplus_coastalspecialist,countries,countries_temp
src_heliumplus_coastalspecialist,doctor_who_saw_who,doctor_who_saw_who_temp
src_heliumplus_coastalspecialist,drugs,drugs_temp
src_heliumplus_coastalspecialist,encounter,encounter_temp
src_heliumplus_coastalspecialist,encounter_form,encounter_form_temp
src_heliumplus_coastalspecialist,enrollments_antenatal,enrollments_antenatal_temp
src_heliumplus_coastalspecialist,enrollments_immunization,enrollments_immunization_temp
src_heliumplus_coastalspecialist,in_patient,in_patient_temp
src_heliumplus_coastalspecialist,lab_requests,lab_requests_temp
src_heliumplus_coastalspecialist,lab_result,lab_result_temp
src_heliumplus_coastalspecialist,lab_result_data,lab_result_data_temp
src_heliumplus_coastalspecialist,staff_directory,staff_directory_temp
src_heliumplus_coastalspecialist,staff_roles,staff_roles_temp
src_heliumplus_coastalspecialist,staff_specialization,staff_specialization_temp
src_heliumplus_coastalspecialist,state,state_temp
src_heliumplus_coastalspecialist,patient_demograph,patient_demograph_temp
src_heliumplus_coastalspecialist,clinical_medication,clinical_medication_temp
src_heliumplus_coastalspecialist,clinical_medication_data,clinical_medication_data_temp
src_heliumplus_coastalspecialist,drug_formulary,drug_formulary_temp
src_heliumplus_coastalspecialist,drug_formulary_data,drug_formulary_data_temp
src_heliumplus_coastalspecialist,patient_diagnoses,patient_diagnoses_temp
src_heliumplus_coastalspecialist,dispensed_drugs,dispensed_drugs_temp
src_heliumplus_coastalspecialist,patient_labs,patient_labs_temp
src_heliumplus_coastalspecialist,patient_scan,patient_scan_temp
src_heliumplus_imagediagnostics_obigbo,clinic,clinic_temp
src_heliumplus_imagediagnostics_obigbo,company,company_temp
src_heliumplus_imagediagnostics_obigbo,diagnoses,diagnoses_temp
src_heliumplus_imagediagnostics_obigbo,countries,countries_temp
src_heliumplus_imagediagnostics_obigbo,doctor_who_saw_who,doctor_who_saw_who_temp
src_heliumplus_imagediagnostics_obigbo,drugs,drugs_temp
src_heliumplus_imagediagnostics_obigbo,encounter,encounter_temp
src_heliumplus_imagediagnostics_obigbo,encounter_form,encounter_form_temp
src_heliumplus_imagediagnostics_obigbo,enrollments_antenatal,enrollments_antenatal_temp
src_heliumplus_imagediagnostics_obigbo,enrollments_immunization,enrollments_immunization_temp
src_heliumplus_imagediagnostics_obigbo,in_patient,in_patient_temp
src_heliumplus_imagediagnostics_obigbo,lab_requests,lab_requests_temp
src_heliumplus_imagediagnostics_obigbo,lab_result,lab_result_temp
src_heliumplus_imagediagnostics_obigbo,lab_result_data,lab_result_data_temp
src_heliumplus_imagediagnostics_obigbo,staff_directory,staff_directory_temp
src_heliumplus_imagediagnostics_obigbo,staff_roles,staff_roles_temp
src_heliumplus_imagediagnostics_obigbo,staff_specialization,staff_specialization_temp
src_heliumplus_imagediagnostics_obigbo,state,state_temp
src_heliumplus_imagediagnostics_obigbo,patient_demograph,patient_demograph_temp
src_heliumplus_imagediagnostics_obigbo,clinical_medication,clinical_medication_temp
src_heliumplus_imagediagnostics_obigbo,clinical_medication_data,clinical_medication_data_temp
src_heliumplus_imagediagnostics_obigbo,drug_formulary,drug_formulary_temp
src_heliumplus_imagediagnostics_obigbo,drug_formulary_data,drug_formulary_data_temp
src_heliumplus_imagediagnostics_obigbo,patient_diagnoses,patient_diagnoses_temp
src_heliumplus_imagediagnostics_obigbo,dispensed_drugs,dispensed_drugs_temp
src_heliumplus_imagediagnostics_obigbo,patient_labs,patient_labs_temp
src_heliumplus_imagediagnostics_obigbo,patient_scan,patient_scan_temp
